location,Graz,Graz,Graz,Graz,Graz,Graz,Graz,Graz,Graz,Graz,Graz
lat,47.05876,47.05876,47.05876,47.05876,47.05876,47.05876,47.05876,47.05876,47.05876,47.05876,47.05876
lon,15.47172,15.47172,15.47172,15.47172,15.47172,15.47172,15.47172,15.47172,15.47172,15.47172,15.47172
asl,369.365,369.365,369.365,369.365,369.365,369.365,369.365,369.365,369.365,369.365,369.365
variable,Temperature,Sunshine Duration,Shortwave Radiation,Direct Shortwave Radiation,Diffuse Shortwave Radiation,Precipitation Total,Snowfall Amount,Relative Humidity,Cloud Cover Total,Wind Speed,Wind Direction
unit,°C,min,W/m²,W/m²,W/m²,mm,cm,%,%,km/h,°
level,2 m elevation corrected,sfc,sfc,sfc,sfc,sfc,sfc,2 m,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None,None,None,None,None
timestamp,Graz Temperature [2 m elevation corrected],Graz Sunshine Duration,Graz Shortwave Radiation,Graz Direct Shortwave Radiation,Graz Diffuse Shortwave Radiation,Graz Precipitation Total,Graz Snowfall Amount,Graz Relative Humidity [2 m],Graz Cloud Cover Total,Graz Wind Speed [10 m],Graz Wind Direction [10 m]
20180107T1200,6.35137,56.55319,299.04,169.91805,129.12196,0.0,0.0,81.0,5.4,5.154415,245.22485
20180107T1300,7.50137,56.808514,347.1,200.10597,146.99403,0.0,0.0,77.0,5.0,5.495161,211.6075
20180107T1400,9.411369,0.0,335.53,193.63518,141.89482,0.0,0.0,66.0,100.0,3.219938,153.43495
20180107T1500,9.93137,0.0,271.44998,154.71414,116.73585,0.0,0.0,66.0,100.0,3.396233,147.99461
20180107T1600,10.06137,0.0,196.69,109.27139,87.41861,0.0,0.0,67.0,100.0,3.8939953,123.69006
20180107T1700,9.76137,0.0,97.9,52.364185,45.535816,0.0,0.0,70.0,100.0,5.04,89.99999
20180107T1800,8.67137,0.0,7.12,3.6912172,3.4287827,0.0,0.0,77.0,100.0,7.8954163,65.772255
20180107T1900,6.75137,0.0,0.0,0.0,0.0,0.0,0.0,87.0,100.0,9.885262,56.88865
20180107T2000,5.94137,0.0,0.0,0.0,0.0,0.0,0.0,91.0,94.0,9.339208,62.447174
20180107T2100,5.41137,0.0,0.0,0.0,0.0,0.0,0.0,94.0,78.0,9.021574,61.38954
20180107T2200,5.25137,0.0,0.0,0.0,0.0,0.0,0.0,94.0,100.0,7.4128532,60.945396
20180107T2300,5.42137,0.0,0.0,0.0,0.0,0.0,0.0,93.0,100.0,5.8048253,60.25511
20180108T0000,5.36137,0.0,0.0,0.0,0.0,0.0,0.0,93.0,100.0,4.510787,61.38954
20180108T0100,5.27137,0.0,0.0,0.0,0.0,0.0,0.0,93.0,100.0,3.5455887,66.037506
20180108T0200,5.2813697,0.0,0.0,0.0,0.0,0.0,0.0,93.0,100.0,1.835647,78.69006
20180108T0300,5.2613697,0.0,0.0,0.0,0.0,0.0,0.0,94.0,100.0,0.71999997,360.0
20180108T0400,5.2213697,0.0,0.0,0.0,0.0,0.0,0.0,94.0,100.0,2.0364676,315.0
20180108T0500,5.21137,0.0,0.0,0.0,0.0,0.0,0.0,93.0,100.0,2.0991426,300.96378
20180108T0600,5.21137,0.0,0.0,0.0,0.0,0.0,0.0,93.0,100.0,2.16,270.0
20180108T0700,5.12137,0.0,0.0,0.0,0.0,0.0,0.0,94.0,100.0,1.4399999,270.0
20180108T0800,5.0113697,0.0,0.0,0.0,0.0,0.0,0.0,96.0,100.0,2.968636,255.96376
20180108T0900,5.04137,0.0,0.89,0.048258305,0.8417417,0.0,0.0,96.0,100.0,1.9386592,248.1986
20180108T1000,5.71137,0.0,64.08,34.054474,30.02553,0.0,0.0,91.0,100.0,1.1384199,18.434952
20180108T1100,6.73137,0.0,186.9,103.3585,83.5415,0.0,0.0,86.0,100.0,0.71999997,180.0
20180108T1200,7.91137,0.0,282.13,160.39377,121.736244,0.0,0.0,82.0,100.0,1.2979984,146.30994
20180108T1300,9.271369,0.0,280.35,161.72467,118.62533,0.0,0.0,76.0,100.0,3.563818,135.0
20180108T1400,8.771369,0.0,299.93,173.21466,126.71534,0.0,0.0,83.0,100.0,4.379589,189.46233
20180108T1500,9.361369,0.0,283.02,161.43903,121.580956,0.0,0.0,80.0,100.0,3.6,180.0
20180108T1600,9.701369,0.0,217.16,120.75118,96.40882,0.0,0.0,79.0,100.0,4.896529,162.89728
20180108T1700,9.451369,0.0,108.58,58.132668,50.447334,0.0,0.0,81.0,100.0,3.8773184,158.1986
20180108T1800,9.291369,0.0,8.01,4.154739,3.8552613,0.0,0.0,82.0,100.0,3.7064266,150.94539
20180108T1900,9.291369,0.0,0.0,0.0,0.0,0.0,0.0,83.0,100.0,4.0249224,116.56505
20180108T2000,9.281369,0.0,0.0,0.0,0.0,0.0,0.0,85.0,100.0,4.73506,98.74616
20180108T2100,9.111369,0.0,0.0,0.0,0.0,0.0,0.0,87.0,100.0,4.379589,80.537674
20180108T2200,8.691369,0.0,0.0,0.0,0.0,0.0,0.0,90.0,100.0,4.6938257,57.5288
20180108T2300,7.92137,0.0,0.0,0.0,0.0,0.0,0.0,93.0,100.0,5.8603754,42.510437
20180109T0000,7.55137,0.0,0.0,0.0,0.0,0.0,0.0,92.0,100.0,7.653705,41.18593
20180109T0100,7.4913697,0.0,0.0,0.0,0.0,0.0,0.0,92.0,100.0,7.8954163,46.847595
